"問題","回答","解説","カテゴリ"
"灌漑とは？","水を人工的に田畑へ引くこと。","雨が少ない地域などで、川・井戸・運河などから水を引いて農業を行えるようにすること。イスラーム世界では乾燥地域が多いため、灌漑農業が重要だった。","イスラーム世界"
"砂漠地帯の遊牧民の事を何という？","ベドウィン。","アラビア半島などの砂漠地帯で、ラクダや羊などを連れて移動しながら生活する遊牧民を指す。","イスラーム世界"
"6世紀以降メッカが栄えた理由は？","東西交易の中継地として栄えたため。","ビザンツ帝国とササン朝の抗争などで従来の交易路が不安定になると、アラビア半島を通る隊商交易の重要性が高まった。メッカはその中継地であり、カアバ神殿を持つ宗教都市でもあった。","イスラーム世界"
"ムハンマドが最初の啓示を受けた場所は？","メッカ郊外のヒラー山の洞窟（ヒラー洞窟）。","610年ごろ、ムハンマドはヒラー山の洞窟で天使ジブリールを通して神アッラーの啓示を受けたとされる。","イスラーム世界"
"ラマダーンとは？","イスラーム暦第9月の断食月。","ラマダーン月には、原則として日の出から日没まで飲食などを断つ。断食はイスラームの五行の一つ。","イスラーム世界"
"ムハンマドは何家の人物？","クライシュ族のハーシム家。","ムハンマドはメッカの有力部族クライシュ族に属し、その中のハーシム家の出身だった。","イスラーム世界"
"メディナでムハンマドがつくったイスラームの信仰共同体は？","ウンマ。","ウンマは血縁や部族を超えて、イスラーム信仰によって結ばれた共同体。ムハンマドはメディナで宗教指導者と政治指導者を兼ねた。","イスラーム世界"
"初代正統カリフは？","アブー＝バクル。","ムハンマドの死後、632年に初代カリフとなった。離反したアラブ諸部族を再統合し、イスラーム共同体の分裂を防いだ。","イスラーム世界"
"アラブの大征服が成功しやすかった理由は？","ビザンツ帝国とササン朝が長年の戦争で弱体化していたため。","両大国は長い戦争で軍事・財政ともに疲弊していた。また、支配下の住民には重税や宗教対立への不満もあり、イスラーム軍が進出しやすい条件がそろっていた。","イスラーム世界"
"第2代正統カリフは？","ウマル。","634～644年に第2代正統カリフを務め、アラブの大征服を大きく進めた。","イスラーム世界"
"ウマルは何をやったか？","アラブの大征服を大きく進め、シリア・エジプト・イラク・イラン方面へ領土を拡大した。","ウマルの時代にイスラーム国家は急拡大した。また征服地に軍営都市を置き、征服国家を運営する仕組みも整えた。","イスラーム世界"
"正統カリフ時代、イスラーム軍がササン朝に決定的勝利を収めた戦いは？","ニハーヴァンドの戦い（642年）。","イスラーム軍がササン朝軍に大勝した戦い。これによってササン朝は急速に衰退し、651年に滅亡した。なお、636年のカーディシーヤの戦いもイラク支配を決定づけた重要な戦い。","イスラーム世界"
"アラブの大征服の際、征服地に建設された軍営都市を何というか？","ミスル。","征服した土地にアラブ人兵士を駐屯させるためにつくられた軍営都市。バスラ・クーファ・フスタートなどが代表例。","イスラーム世界"
"啓典の民とは何か？","ユダヤ教徒・キリスト教徒など、神から与えられた聖典を持つとされた人々。","イスラーム支配下では、啓典の民はジズヤ（人頭税）を納めることで、原則として信仰を維持することが認められた。ゾロアスター教徒も実際の統治では同様に扱われることがあった。","イスラーム世界"
"3代目正統カリフは？","ウスマーン。","644～656年に第3代正統カリフを務めた。クライシュ族のウマイヤ家の出身。","イスラーム世界"
"ウスマーンは何をやったか？","『クルアーン（コーラン）』の本文を統一し、標準版を作らせた。","地域ごとに啓示の読み方や伝承が異なることを防ぐため、クルアーンの標準的な本文を確定し、各地へ送ったとされる。","イスラーム世界"
"ウスマーンが暗殺された理由について説明しなさい","一族のウマイヤ家を重用する政治に反発が強まったため。","ウスマーンが親族を各地の総督などに登用したことで、身内びいきだという不満が広がった。征服地の兵士や地方勢力などの反発が強まり、656年に反乱者によって暗殺された。","イスラーム世界"
